ActionGeo_CountryCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,GLOBALEVENTID,SOURCEURL,SQLDATE,company,industry,sentiment,title,topic,domain
,,,,500559546,http://www.businesscloudnews.com/2016/01/08/vmware-beefs-up-security-announces-ibm-and-intel-collaborations/,20160108,ibm,technology,,vmware beefs up security announces ibm and intel collaborations,security,www.businesscloudnews.com
SN,Singapore,1.3667,103.8,501122792,http://www.mis-asia.com/tech/applications/hong-leong-pioneers-cognitive-banking-with-the-help-of-ibm-watson/,20160111,ibm,technology,,hong leong pioneers cognitive banking with the help of ibm watson,watson,www.mis-asia.com
SN,Singapore,1.3667,103.8,501168654,http://computerworld.com.sg/tech/applications/hong-leong-pioneers-cognitive-banking-with-the-help-of-ibm-watson/,20160111,ibm,technology,,hong leong pioneers cognitive banking with the help of ibm watson,watson,computerworld.com.sg
US,"Michigan, United States",43.3504,-84.5603,501295713,http://www.techrepublic.com/article/ford-taps-ibm-for-data-analytics-to-win-the-connected-car-race/,20150111,ibm,technology,,ford taps ibm for data analytics to win the connected car race,data,www.techrepublic.com
MY,"Kuala Lumpur, Kuala Lumpur, Malaysia",3.16667,101.7,501360704,http://www.thestar.com.my/business/business-news/2016/01/12/hlb-introduces-ibm-watson-to-give-fast-answers-to-customers/,20160112,ibm,technology,,hlb introduces ibm watson to give fast answers to customers,watson,www.thestar.com.my
,,,,501592416,http://investorplace.com/2016/01/ibm-stock-watson/,20160112,ibm,technology,,ibm stock watson,watson,investorplace.com
MY,Malaysia,2.5,112.5,502154139,http://www.mis-asia.com/tech/security/cybersecurity-strategies-in-the-asean-economic-community-era-ibm-security-interview/,20160114,ibm,technology,,cybersecurity strategies in the asean economic community era ibm security interview,security,www.mis-asia.com
UK,United Kingdom,54.0,-2.0,502221734,http://www.channelweb.co.uk/crn-uk/news/2441882/ingram-micro-widens-ibm-cloud-to-five-new-territories,20160114,ibm,technology,,ingram micro widens ibm cloud to five new territories,cloud,www.channelweb.co.uk
AE,"Abu Dhabi, Abu Z¸aby, United Arab Emirates",24.4667,54.3667,502322291,http://www.eweek.com/enterprise-apps/ibm-modernizes-federal-reserves-retail-payments.html,20160114,ibm,technology,,ibm modernizes federal reserves retail payments.html,retail,www.eweek.com
IN,"Bombay, Maharashtra, India",18.975,72.8258,502508111,http://www.microcapital.org/microcapital-brief-indias-sks-microfinance-seeks-to-go-paperless-with-ibm-mobilefirst-tablet-system/,20160115,ibm,technology,,microcapital brief indias sks microfinance seeks to go paperless with ibm mobilefirst tablet system,finance,www.microcapital.org
CH,China,35.0,105.0,503080675,http://www.informationweek.com/big-data/big-data-analytics/microsoft-r-updates-ibms-fraud-detection-analytics-buy-big-data-roundup/d/d-id/1323951,20160117,ibm,technology,,microsoft r updates ibms fraud detection analytics buy big data roundup,data,www.informationweek.com
UK,"Essex, Essex, United Kingdom",51.8333,0.583333,503339198,http://www.tnooz.com/article/ibm-watson-technology-finds-its-way-into-travel-agency-desktops/,20160118,ibm,technology,,ibm watson technology finds its way into travel agency desktops,watson,www.tnooz.com
US,"Virginia, United States",37.768,-78.2057,504108862,http://www.datacenterknowledge.com/archives/2016/01/20/ibm-csc-team-for-hybrid-cloud-expansion/,20160120,ibm,technology,,ibm csc team for hybrid cloud expansion,cloud,www.datacenterknowledge.com
IN,"Bengaluru, Karnataka, India",12.9833,77.5833,504409738,http://yourstory.com/2016/01/ibm-watson-1/,20160121,ibm,technology,,ibm watson 1,watson,yourstory.com
US,"Boston, Massachusetts, United States",42.3584,-71.0598,504414254,http://www.beckershospitalreview.com/healthcare-information-technology/epic-community-grants-total-118-000-in-2015-ibm-received-most-u-s-patents-for-23rd-year-microsoft-to-donate-1b-in-cloud-services-6-health-it-key-notes.html,20160121,ibm,technology,,epic community grants total 118 000 in 2015 ibm received most u s patents for 23rd year microsoft to donate 1b in cloud services 6 health it key notes.html,cloud,www.beckershospitalreview.com
IN,India,20.0,77.0,504893612,http://www.inquisitr.com/2728947/ustream-to-become-cloud-based-service-after-ibm-acquisition/,20160123,ibm,technology,,ustream to become cloud based service after ibm acquisition,cloud,www.inquisitr.com
IN,India,20.0,77.0,505264349,http://economictimes.indiatimes.com/tech/software/chumbak-inks-cloud-service-pact-with-ibm/articleshow/50711288.cms,20160125,ibm,technology,,chumbak inks cloud service pact with ibm,cloud,economictimes.indiatimes.com
IN,India,20.0,77.0,505350225,http://www.infotechlead.com/cloud/ibm-bags-cloud-deal-chumbak-beating-microsoft-azure-aws-37978,20160125,ibm,technology,,ibm bags cloud deal chumbak beating microsoft azure aws 37978,cloud,www.infotechlead.com
IN,"Mumbai, Maharashtra, India",18.975,72.8258,505438644,http://www.business-standard.com/article/companies/ibm-ceo-virginia-rometty-to-push-digital-technologies-during-india-visit-next-month-116012500874_1.html,20160125,ibm,technology,,ibm ceo virginia rometty to push digital technologies during india visit next month 116012500874 1.html,digital,www.business-standard.com
EI,Ireland,53.0,-8.0,505455537,http://www.meddeviceonline.com/doc/u-k-s-nhs-partners-with-ibm-verily-phillips-to-remotely-monitor-patients-0001,20160125,ibm,health,,u k s nhs partners with ibm verily phillips to remotely monitor patients 0001,patients,www.meddeviceonline.com
,,,,505576840,http://www.eweek.com/it-management/ibm-inks-patent-cross-license-deal-with-western-digital.html,20160126,ibm,technology,,ibm inks patent cross license deal with western digital.html,digital,www.eweek.com
US,"Hawaii State Hospital, Hawaii, United States",21.4051,-157.816,505578750,http://khon2.com/2016/01/25/hawaii-state-hospital-patient-richard-leibman-escapes-considered-dangerous/,20160126,ibm,health,,hawaii state hospital patient richard leibman escapes considered dangerous,hospital,khon2.com
MX,"Mexico City, Distrito Federal, Mexico",19.4342,-99.1386,505608043,http://www.theyucatantimes.com/2016/01/ibm-opens-softlayer-data-center-in-mexico/,20160126,ibm,technology,,ibm opens softlayer data center in mexico,data,www.theyucatantimes.com
UK,United Kingdom,54.0,-2.0,506125424,http://www.mytechbits.com/european-union-overhauling-data-protection-laws-as-google-facebook-and-ibm-voice-concern/981120594/,20160127,ibm,technology,,european union overhauling data protection laws as google facebook and ibm voice concern,data,www.mytechbits.com
IN,"Pune, Maharashtra, India",18.5333,73.8667,506360962,http://www.teleanalysis.com/enterprise-2/suburban-diagnostics-selects-ibm-cloud-20599.html,20160128,ibm,technology,,suburban diagnostics selects ibm cloud 20599.html,cloud,www.teleanalysis.com
US,"San Francisco, California, United States",37.7749,-122.419,506471030,http://electronics360.globalspec.com/article/6258/q-a-jonas-nwuke-offers-insight-into-future-ibm-watson-ai,20160128,ibm,technology,,q a jonas nwuke offers insight into future ibm watson ai,watson,electronics360.globalspec.com
UK,"Cambridge, Cambridgeshire, United Kingdom",52.2,0.116667,506479648,https://www.equities.com/news/ibm-watson-health-companies-awarded-five-best-in-klas-designations,20160128,ibm,technology,,ibm watson health companies awarded five best in klas designations,watson,www.equities.com
US,"Chicago, Illinois, United States",41.85,-87.6501,506631024,http://www.eweek.com/it-management/ibm-to-buy-digital-marketing-agency-resourceammirati.html,20160129,ibm,technology,,ibm to buy digital marketing agency resourceammirati.html,digital,www.eweek.com
US,"San Francisco, California, United States",37.7749,-122.419,506656246,http://www.mediapost.com/publications/article/267807/ibm-acquires-resourceammirati-its-first-digital.html,20160129,ibm,technology,,ibm acquires resourceammirati its first digital.html,digital,www.mediapost.com
,,,,506693119,http://www.healthitoutcomes.com/doc/ibm-watson-health-companies-awarded-five-best-klas-designations-0001,20160129,ibm,technology,,ibm watson health companies awarded five best klas designations 0001,watson,www.healthitoutcomes.com
US,"New York, United States",42.1497,-74.9384,506818708,http://www.businessinsider.com/sc/ibm-watson-and-personalized-healthcare-for-cancer-2016-1,20160129,ibm,technology,,ibm watson and personalized healthcare for cancer 2016 1,watson,www.businessinsider.com
BR,Brazil,-10.0,-55.0,506858296,http://techcrunch.com/2016/01/29/ibm-watson-weather-company-sale/,20160129,ibm,technology,,ibm watson weather company sale,watson,techcrunch.com
CH,China,35.0,105.0,506901317,http://www.techtimes.com/articles/129145/20160129/ibm-officially-acquires-weather-company-boosting-watson-internet-things-space.htm,20160130,ibm,technology,,ibm officially acquires weather company boosting watson internet things space.htm,watson,www.techtimes.com
US,"New York, United States",42.1497,-74.9384,506902062,http://www.wlox.com/story/31093554/ibm-names-weather-co-chief-as-watsons-new-boss,20160130,ibm,technology,,ibm names weather co chief as watsons new boss,watson,www.wlox.com
CH,China,35.0,105.0,506941181,http://www.tvweek.com/tvbizwire/2016/01/ibm-closes-weather-company-tech-acquisition-aims-to-broaden-scope-of-its-internet-of-things-initiative/,20160130,ibm,technology,,ibm closes weather company tech acquisition aims to broaden scope of its internet of things initiative,internet of things,www.tvweek.com
US,"Odessa, New York, United States",42.3367,-76.7886,506951553,http://www.newswest9.com/story/31093555/ibm-names-weather-co-chief-as-watsons-new-boss,20160130,ibm,technology,,ibm names weather co chief as watsons new boss,watson,www.newswest9.com
UK,"Cambridge, Cambridgeshire, United Kingdom",52.2,0.116667,507018943,http://livenews.co.nz/2016/01/30/ibm-watson-health-companies-awarded-five-best-in-klas-designations/,20160130,ibm,technology,,ibm watson health companies awarded five best in klas designations,watson,livenews.co.nz
AS,"Canberra, Australian Capital Territory, Australia",-35.2833,149.217,507286998,http://www.itwire.com/your-it-news/internet-of-things/71252-ibm-pursues-iot-strategy-with-the-weather-company-acquisition,20160131,ibm,technology,,71252 ibm pursues iot strategy with the weather company acquisition,iot,www.itwire.com
,,,,507323539,http://www.zdnet.com/article/ibm-vs-microsoft-and-the-battle-for-the-corporate-cloud-business/,20160131,ibm,technology,,ibm vs microsoft and the battle for the corporate cloud business,cloud,www.zdnet.com
