GLOBALEVENTID,SQLDATE,SOURCEURL,ActionGeo_Lat,ActionGeo_Long,ActionGeo_CountryCode,title,company,industry,topic,sentiment
427543341,20150422,http://www.newswire.ca/en/story/1522353/innovation-and-technology-will-increase-roi-with-workplace-training-accenture-and-ccce-report-shows,43.6667,-79.4167,CA,innovation and technology will increase roi with workplace training accenture and ccce report shows,accenture,,,
427385545,20150422,http://investcorrectly.com/20150421/international-business-machines-corp-ibm-cloud-mainframe-continue-remain-strong/,35.0,105.0,CH,international business machines corp ibm cloud mainframe continue remain strong,ibm,,,
427435553,20150422,http://www.thestreet.com/story/13119460/1/3-biggest-takeaways-from-ibms-ho-hum-first-quarter.html,,,,3 biggest takeaways from ibms ho hum first quarter.html,ibm,,,
427502225,20150422,http://www.thehostingnews.com/readyspace-launches-cloud-service-on-ibm-power-systems.html,38.0,-97.0,US,readyspace launches cloud service on ibm power systems.html,ibm,,,
427504368,20150422,http://www.forbes.com/sites/greatspeculations/2015/04/22/ibm-earnings-margins-improves-even-as-revenues-decline/,45.5,-73.5833,CA,ibm earnings margins improves even as revenues decline,ibm,,,
427551436,20150422,http://www.themalaysianinsider.com/technology/article/peugeot-ibm-working-to-connect-cars-to-shops-and-servicing,45.6333,5.73333,FR,peugeot ibm working to connect cars to shops and servicing,ibm,,,
427563434,20150422,http://www.technewstoday.com/23126-ibm-copr-to-join-french-automaker-psa-peugeot-citroen-for-connected-cars/,46.0,2.0,FR,23126 ibm copr to join french automaker psa peugeot citroen for connected cars,ibm,,,
427606997,20150422,http://www.techeye.net/business/peugeot-signs-connectivity-deal-with-ibm,46.0,2.0,FR,peugeot signs connectivity deal with ibm,ibm,,,
427612842,20150422,http://www.businessinsider.com/how-microsoft-fights-the-apple-ibm-plan-2015-4,,,,how microsoft fights the apple ibm plan 2015 4,ibm,,,
427645673,20150422,"http://www.crn.com.au/News/402919,how-ibm-reckons-it-can-beat-cloud-rivals-on-price.aspx",-37.8167,144.967,AS,"402919,how ibm reckons it can beat cloud rivals on price.aspx",ibm,,,
427913168,20150423,http://mis-asia.com/tech/industries/accenture-opens-interactive-innovation-centre-in-frances-silicon-valley/,46.0,2.0,FR,accenture opens interactive innovation centre in frances silicon valley,accenture,,,
427698844,20150423,http://finchannel.com/index.php/technology/item/42977-ibm-brings-cyber-threat-analytics-to-the-cloud,,,,42977 ibm brings cyber threat analytics to the cloud,ibm,,,
427792712,20150423,http://www.newswire.ca/en/story/1523077/ibm-canada-ltd-voted-canada-s-most-attractive-employer,47.5,-72.0,CA,ibm canada ltd voted canada s most attractive employer,ibm,,,
427798983,20150423,http://www.zdnet.com/article/after-medical-school-ibms-watson-ready-for-apple-health-apps/,32.0667,34.7667,IS,after medical school ibms watson ready for apple health apps,ibm,,,
427800685,20150423,http://www.prnewswire.co.in/news-releases/swiss-re-corporate-solutions-joins-forces-with-ibm-to-offer-cyber-risk-protection-501037591.html,47.3667,8.55,SZ,swiss re corporate solutions joins forces with ibm to offer cyber risk protection 501037591.html,ibm,,,
427817131,20150423,http://www.marketwatch.com/story/gartner-symposiumitxpo-2015-mastermind-keynotes-to-include-ibms-ginni-rometty-and-ges-jeffrey-r-immelt-2015-04-23,41.5834,-72.7622,US,gartner symposiumitxpo 2015 mastermind keynotes to include ibms ginni rometty and ges jeffrey r immelt 2015 04 23,ibm,,,
427821154,20150423,http://en.starafrica.com/news/swiss-re-corporate-solutions-joins-forces-with-ibm-to-offer-cyber-risk-protection.html,47.3667,8.55,SZ,swiss re corporate solutions joins forces with ibm to offer cyber risk protection.html,ibm,,,
427826441,20150423,http://www.eweek.com/cloud/ibm-opens-new-netherlands-cloud-data-center.html,-33.8833,151.217,AS,ibm opens new netherlands cloud data center.html,ibm,,,
427899371,20150423,http://myhostnews.com/2015/04/readyspace-launches-cloud-service-on-ibm-power-systems/,13.0,122.0,RP,readyspace launches cloud service on ibm power systems,ibm,,,
427904380,20150423,http://www.nearshoreamericas.com/capgemini-reportedly-talks-purchase-igate/,20.0,77.0,IN,capgemini reportedly talks purchase igate,capgemini,,,
428045203,20150424,http://www.hr.com/en/app/blog/2015/04/canadians-choose-ibm-as-canada%E2%80%99s-most-attractive-e_i8v5x7by.html,47.5,-72.0,CA,canadians choose ibm as canada%e2%80%99s most attractive e i8v5x7by.html,ibm,,,
428077053,20150424,http://www.wallstreetscope.com/fri-pre-market-insights-halozyme-therapeutics-inc-halo-banco-santander-s-a-san-perkinelmer-inc-pki-international-business-machines-corporation-ibm-china-shengda-packaging-group-inc/25253689/,,,,fri pre market insights halozyme therapeutics inc halo banco santander s a san perkinelmer inc pki international business machines corporation ibm china shengda packaging group inc,ibm,,,
428180308,20150424,http://foreignpolicy.com/2015/04/24/ibm-technology-transfer-china-virginia-rometty-strategy-lenovo-huawei-it/,39.9289,116.388,CH,ibm technology transfer china virginia rometty strategy lenovo huawei it,ibm,,,
428203227,20150424,http://www.investornewswire.com/cloud-centre-established-by-international-business-machines-corp-nyseibm-to-cater-for-rise-in-user-base/6980/,52.5,5.75,NL,cloud centre established by international business machines corp nyseibm to cater for rise in user base,ibm,,,
428261810,20150424,http://www.betaboston.com/news/2015/04/24/whats-for-dinner-let-ibms-chef-watson-decide/,49.75,15.5,EZ,whats for dinner let ibms chef watson decide,ibm,,,
428268335,20150424,http://www.jdsupra.com/legalnews/ibm-sentenced-to-pay-65-million-as-cont-90381/,46.5833,0.333333,FR,ibm sentenced to pay 65 million as cont 90381,ibm,,,
